t_epoch,util_gpu_pct,mem_used_mib,mem_total_mib,temp_c
1786266602.97,6,318,6144,60
1786266604.03,1,318,6144,60
1786266605.1,1,318,6144,60
1786266606.17,2,318,6144,60
1786266607.24,0,529,6144,61
1786266608.31,0,529,6144,62
1786266609.37,0,529,6144,62
1786266610.44,0,529,6144,62
1786266611.51,0,529,6144,62
1786266612.58,0,529,6144,62
1786266613.65,0,529,6144,61
1786266614.71,2,529,6144,60
1786266615.78,2,529,6144,60
1786266616.84,2,529,6144,60
1786266617.9,2,529,6144,60
1786266618.96,1,529,6144,60
1786266620.03,3,529,6144,59
1786266621.09,2,529,6144,59
1786266622.16,2,529,6144,59
1786266623.24,2,529,6144,59
1786266624.3,2,529,6144,59
1786266625.38,2,529,6144,59
1786266626.45,2,529,6144,59
1786266627.52,1,529,6144,59
1786266628.59,2,529,6144,59
1786266629.66,4,529,6144,59
1786266630.73,4,529,6144,59
1786266631.8,4,529,6144,59
1786266632.86,4,529,6144,59
1786266633.91,1,529,6144,59
1786266634.99,1,529,6144,59
1786266636.09,2,529,6144,59
1786266637.16,2,531,6144,59
1786266638.24,2,531,6144,59
1786266639.31,2,531,6144,58
1786266640.38,2,531,6144,58
1786266641.46,2,529,6144,58
1786266642.53,2,529,6144,58
1786266643.59,1,529,6144,58
1786266644.67,2,529,6144,58
1786266645.75,2,529,6144,58
1786266646.81,2,529,6144,58
1786266647.89,2,529,6144,58
1786266648.96,2,529,6144,58
1786266650.01,2,529,6144,58
1786266651.08,2,529,6144,58
1786266652.18,0,531,6144,58
1786266653.27,2,531,6144,58
1786266654.34,2,531,6144,58
1786266655.41,2,531,6144,58
1786266656.49,2,531,6144,58
1786266657.66,2,529,6144,58
1786266658.74,4,529,6144,58
1786266659.81,4,529,6144,58
1786266660.89,0,528,6144,58
1786266661.94,4,528,6144,58
1786266663.01,2,528,6144,58
1786266664.07,2,528,6144,57
1786266665.25,1,528,6144,57
1786266666.35,1,528,6144,57
1786266667.43,2,528,6144,57
1786266668.51,2,528,6144,57
1786266669.59,2,528,6144,57
1786266670.65,2,528,6144,57
1786266671.72,2,528,6144,57
1786266672.78,2,528,6144,57
1786266673.85,1,528,6144,57
1786266674.92,2,528,6144,57
1786266675.98,2,528,6144,57
1786266677.07,100,5952,6144,57
1786266678.14,100,5965,6144,62
1786266679.22,57,5969,6144,62
1786266680.28,100,5969,6144,62
1786266681.34,100,5969,6144,63
1786266682.41,100,5969,6144,64
1786266683.48,100,5969,6144,64
1786266684.55,100,5969,6144,64
1786266685.63,100,5969,6144,65
1786266686.7,100,5969,6144,64
1786266687.84,100,5969,6144,65
1786266688.9,100,5969,6144,65
1786266689.97,100,5969,6144,65
1786266691.05,49,5969,6144,65
1786266692.11,100,5969,6144,68
1786266693.18,100,5969,6144,66
1786266694.24,100,5969,6144,67
1786266695.31,100,5969,6144,66
1786266696.38,100,5969,6144,67
1786266697.45,100,5969,6144,67
1786266698.52,100,5969,6144,67
1786266699.58,100,5969,6144,68
1786266700.64,100,5969,6144,67
1786266701.71,100,5969,6144,67
1786266702.77,100,5969,6144,67
1786266703.84,100,5969,6144,68
1786266704.92,100,5969,6144,68
1786266706.39,100,5969,6144,68
1786266707.46,100,5969,6144,68
1786266708.56,100,5969,6144,68
1786266709.81,100,5969,6144,68
1786266710.87,100,5969,6144,68
1786266711.93,100,5969,6144,69
1786266713.0,100,5969,6144,68
1786266714.06,100,5969,6144,69
1786266715.13,100,5969,6144,69
1786266716.2,100,5969,6144,69
1786266717.27,100,5969,6144,73
1786266718.35,100,5969,6144,69
1786266719.41,100,5969,6144,69
1786266720.48,100,5969,6144,69
1786266721.56,100,5969,6144,70
1786266722.62,100,5969,6144,70
1786266723.69,100,5969,6144,70
1786266724.75,100,5969,6144,70
1786266725.82,100,5969,6144,70
1786266726.89,100,5969,6144,70
1786266727.97,100,5969,6144,70
1786266729.03,100,5969,6144,70
1786266730.1,100,5969,6144,71
1786266731.16,100,5969,6144,70
1786266732.23,100,5969,6144,70
1786266733.37,100,5969,6144,71
1786266734.42,100,5969,6144,70
1786266735.48,100,5969,6144,70
1786266736.55,100,5969,6144,71
1786266737.62,100,5969,6144,71
1786266738.69,100,5969,6144,70
1786266739.75,100,5969,6144,71
1786266740.83,100,5969,6144,71
1786266741.91,100,5969,6144,71
1786266742.97,100,5969,6144,71
1786266744.04,100,5969,6144,71
1786266745.11,100,5969,6144,72
1786266746.17,100,5969,6144,71
1786266747.24,100,5969,6144,71
1786266748.31,100,5969,6144,71
1786266749.37,100,5969,6144,71
1786266750.43,100,5969,6144,71
1786266751.5,100,5969,6144,71
1786266752.56,100,5969,6144,72
1786266753.61,100,5969,6144,71
1786266754.67,100,5969,6144,74
1786266755.74,100,5969,6144,72
1786266756.8,100,5969,6144,71
1786266757.87,100,5969,6144,71
1786266758.94,100,5969,6144,71
1786266760.02,100,5969,6144,72
1786266761.1,100,5969,6144,71
1786266762.17,100,5969,6144,71
1786266763.24,100,5969,6144,72
1786266764.31,100,5969,6144,72
1786266765.38,100,5969,6144,71
1786266766.49,100,5969,6144,71
1786266767.57,86,5969,6144,74
1786266768.63,100,5969,6144,72
1786266769.69,100,5969,6144,72
1786266770.76,100,5969,6144,72
1786266771.83,100,5969,6144,72
1786266772.9,100,5969,6144,72
1786266773.96,100,5969,6144,72
1786266775.03,100,5969,6144,73
1786266776.11,100,5969,6144,72
1786266777.18,100,5969,6144,71
1786266778.25,100,5969,6144,72
1786266779.32,100,5969,6144,72
1786266780.39,100,5969,6144,74
1786266781.47,100,5969,6144,72
1786266782.51,100,5969,6144,72
1786266783.6,100,5969,6144,72
1786266784.65,100,5969,6144,72
1786266785.71,100,5969,6144,72
1786266786.77,100,5969,6144,72
1786266787.83,100,5969,6144,73
1786266788.89,100,5969,6144,72
1786266789.96,100,5969,6144,72
1786266791.03,100,5969,6144,72
1786266792.11,100,5969,6144,71
1786266793.17,100,5969,6144,72
1786266794.24,100,5969,6144,72
1786266795.3,100,5969,6144,73
1786266796.37,100,5969,6144,72
1786266797.43,100,5969,6144,72
1786266798.49,100,5969,6144,72
1786266799.56,100,5969,6144,72
1786266800.63,100,5969,6144,72
1786266801.69,100,5969,6144,72
1786266802.76,100,5969,6144,73
1786266803.83,100,5969,6144,72
1786266804.9,100,5969,6144,72
1786266805.97,100,5969,6144,72
1786266807.04,100,5969,6144,72
1786266808.11,100,5969,6144,72
1786266809.18,100,5969,6144,72
1786266810.27,100,5969,6144,72
1786266811.34,100,5969,6144,72
1786266812.39,100,5969,6144,72
1786266813.47,100,5969,6144,72
1786266814.52,100,5969,6144,72
1786266815.6,100,5969,6144,72
1786266816.66,100,5969,6144,72
1786266817.72,100,5969,6144,76
1786266818.78,100,5969,6144,72
1786266819.86,100,5969,6144,72
1786266820.92,100,5969,6144,73
1786266821.97,100,5969,6144,72
1786266823.05,100,5969,6144,72
1786266824.12,100,5969,6144,72
1786266825.19,100,5969,6144,72
1786266826.26,100,5969,6144,72
1786266827.32,100,5969,6144,72
1786266828.38,100,5969,6144,72
