t_epoch,util_gpu_pct,mem_used_mib,mem_total_mib,temp_c
1786264215.65,8,1137,6144,59
1786264216.74,8,1128,6144,59
1786264217.8,8,1128,6144,59
1786264218.87,8,1128,6144,59
1786264219.94,8,1305,6144,59
1786264221.0,8,1305,6144,60
1786264222.05,8,1305,6144,60
1786264223.12,8,1305,6144,61
1786264224.18,7,1305,6144,61
1786264225.24,9,1305,6144,61
1786264226.29,10,1305,6144,61
1786264227.34,10,1305,6144,62
1786264228.39,11,1305,6144,62
1786264229.44,12,1305,6144,62
1786264230.5,11,1305,6144,62
1786264231.56,12,1305,6144,63
1786264232.62,11,1305,6144,63
1786264233.72,9,1305,6144,63
1786264234.78,11,1305,6144,63
1786264235.84,10,1305,6144,63
1786264236.91,10,1305,6144,63
1786264237.97,10,1305,6144,64
1786264239.03,11,1305,6144,64
1786264240.08,9,1305,6144,64
1786264241.14,10,1305,6144,64
1786264242.2,9,1305,6144,64
1786264243.27,11,1305,6144,64
1786264244.34,9,1305,6144,64
1786264245.42,12,1305,6144,64
1786264246.49,10,1305,6144,64
1786264247.57,10,1305,6144,64
1786264248.64,11,1305,6144,64
1786264249.69,10,1305,6144,64
1786264250.76,12,1305,6144,64
1786264251.83,10,1305,6144,64
1786264252.91,12,1305,6144,64
1786264254.0,12,1305,6144,63
1786264255.07,11,1305,6144,63
1786264256.14,11,1305,6144,63
1786264257.2,10,1305,6144,63
1786264258.29,8,1305,6144,63
1786264259.39,9,1305,6144,63
1786264260.47,11,1305,6144,63
1786264261.55,12,1305,6144,63
1786264262.63,11,1305,6144,63
1786264263.71,11,1305,6144,63
1786264264.79,11,1305,6144,63
1786264265.86,10,1301,6144,63
1786264267.07,11,1305,6144,63
1786264268.13,10,1305,6144,63
1786264269.21,10,1305,6144,63
1786264270.28,10,1305,6144,63
1786264271.36,11,1305,6144,63
1786264272.43,10,1305,6144,63
1786264273.51,12,1305,6144,62
1786264274.58,11,1305,6144,62
1786264275.66,11,1305,6144,63
1786264276.75,11,1305,6144,62
1786264277.83,10,1305,6144,62
1786264278.89,12,1305,6144,62
1786264279.97,12,1305,6144,62
1786264281.05,11,1305,6144,62
1786264282.11,13,1305,6144,62
1786264283.17,13,1305,6144,62
1786264284.25,13,1305,6144,62
1786264285.34,14,1305,6144,62
1786264286.42,13,1305,6144,62
1786264287.5,12,1305,6144,62
1786264288.58,11,1305,6144,62
1786264289.64,10,1305,6144,62
1786264290.72,98,5259,6144,67
1786264291.8,100,5553,6144,71
1786264292.88,100,5555,6144,73
1786264293.98,100,5555,6144,74
1786264295.05,100,5556,6144,75
1786264296.18,88,5556,6144,76
1786264297.27,100,5556,6144,77
1786264298.35,100,5556,6144,78
1786264299.42,99,5556,6144,79
1786264300.5,100,5556,6144,78
1786264301.57,100,5556,6144,79
1786264302.65,100,5556,6144,80
1786264303.74,100,5556,6144,80
1786264304.83,88,5556,6144,81
1786264305.92,100,5556,6144,80
1786264307.0,100,5556,6144,81
1786264308.08,100,5556,6144,80
1786264309.18,100,5556,6144,80
1786264310.25,100,5556,6144,80
1786264311.35,100,5558,6144,81
1786264312.43,100,5558,6144,81
1786264313.51,100,5558,6144,81
1786264314.61,87,5558,6144,81
1786264315.7,100,5555,6144,81
1786264316.78,100,5555,6144,82
1786264317.88,100,5555,6144,82
1786264318.97,100,5555,6144,82
1786264320.07,100,5555,6144,82
1786264321.19,100,5555,6144,82
1786264322.25,100,5555,6144,82
1786264323.34,100,5555,6144,82
1786264324.4,88,5555,6144,82
1786264325.5,86,5555,6144,82
1786264326.59,100,5555,6144,82
1786264327.67,100,5555,6144,83
1786264328.77,100,5552,6144,82
1786264329.87,100,5555,6144,82
1786264330.98,100,5555,6144,82
1786264332.09,100,5555,6144,82
1786264333.2,100,5555,6144,83
1786264334.32,89,5555,6144,83
1786264335.42,100,5555,6144,83
1786264336.52,100,5555,6144,83
1786264337.59,100,5555,6144,83
1786264338.67,100,5555,6144,83
1786264339.76,100,5555,6144,83
1786264340.85,100,5555,6144,83
