t,pwr,gtemp,mtemp,sm,mem,mclk,pclk
1786270976.6881166,11,49,-,2,1,405,210
1786270977.7014134,11,49,-,1,1,405,210
1786270978.7113993,13,49,-,1,0,7001,1605
1786270979.7140696,24,51,-,0,0,7001,1605
1786270980.721685,24,51,-,0,0,7001,1605
1786270981.7245636,29,51,-,0,0,7001,1605
1786270982.735578,24,51,-,0,0,7001,1605
1786270983.7384408,24,52,-,0,0,7001,1605
1786270984.7495143,24,52,-,0,0,7001,1605
1786270985.758499,17,51,-,0,0,405,330
1786270986.7652426,12,50,-,1,1,405,210
1786270987.7694378,12,50,-,2,1,405,210
1786270988.7799692,12,50,-,1,1,405,210
1786270989.7872436,12,50,-,2,1,405,210
1786270990.7893271,11,50,-,2,1,405,210
1786270991.7987907,12,50,-,2,1,405,210
1786270992.8160114,12,50,-,4,1,405,210
1786270993.8277783,12,50,-,4,1,405,210
1786270994.837718,12,50,-,4,1,405,210
1786270995.8415782,12,50,-,2,1,405,210
1786270996.8469586,12,50,-,4,1,405,210
1786270997.8600302,12,50,-,4,1,405,210
1786270998.8642595,12,50,-,2,1,405,210
1786270999.8693721,12,50,-,2,1,405,210
1786271000.873098,11,50,-,2,1,405,210
1786271001.8849506,12,50,-,1,1,405,210
1786271002.8882825,11,50,-,1,0,405,210
1786271003.8984675,11,50,-,2,1,405,210
1786271004.9108827,12,50,-,2,1,405,210
1786271005.9237185,12,50,-,2,1,405,210
1786271006.937674,12,50,-,2,1,405,210
1786271007.9426875,12,51,-,2,1,405,210
1786271008.9523294,11,50,-,2,1,405,210
1786271009.9626443,11,50,-,1,0,405,210
1786271010.9681208,12,50,-,1,0,405,210
1786271011.9701545,12,51,-,2,1,405,210
1786271012.974005,12,51,-,2,1,405,210
1786271013.977635,12,51,-,2,1,405,210
1786271014.98896,12,51,-,2,1,405,210
1786271015.994284,11,51,-,2,1,405,210
1786271016.9973502,12,51,-,1,1,405,210
1786271018.0038364,12,51,-,2,1,405,210
1786271019.0163658,12,51,-,2,1,405,210
1786271020.0281014,12,52,-,2,1,405,210
1786271021.0358996,12,51,-,2,1,405,210
1786271022.0468285,12,52,-,2,1,405,210
1786271023.0560975,12,52,-,2,1,405,210
1786271024.0566602,12,52,-,2,1,405,210
1786271025.0639198,12,52,-,1,0,405,210
1786271026.0693505,11,52,-,4,1,405,210
1786271027.0812778,11,52,-,5,1,405,210
1786271028.0918517,12,52,-,4,1,405,210
1786271029.1022825,12,52,-,4,1,405,210
1786271030.1174347,12,52,-,4,1,405,210
1786271031.1255667,12,52,-,0,0,405,210
1786271032.1344137,12,52,-,1,0,405,210
1786271033.147258,12,52,-,2,1,405,210
1786271034.1570787,57,57,-,100,41,7001,1957
1786271035.1709485,123,62,-,100,39,7001,2010
1786271036.1740723,124,65,-,100,39,7001,2017
1786271037.182986,117,67,-,100,44,7001,2017
1786271038.184038,122,68,-,100,38,7001,2010
1786271039.1864567,126,69,-,100,43,7001,1972
1786271040.1972888,124,69,-,100,38,7001,1995
1786271041.2076404,126,70,-,100,44,7001,1972
1786271042.2134275,120,70,-,100,39,7001,1987
1786271043.213904,123,71,-,96,42,7001,1957
1786271044.2173696,125,72,-,100,37,7001,1972
1786271045.231393,124,73,-,100,39,7001,1987
1786271046.2328906,124,73,-,100,43,7001,1980
1786271047.2409203,126,74,-,100,39,7001,2002
1786271048.2445047,123,75,-,100,43,7001,1950
1786271049.2567582,127,75,-,100,38,7001,1987
1786271050.2681994,133,76,-,100,43,7001,1957
1786271051.2768648,129,77,-,100,38,7001,2002
1786271052.2899842,147,77,-,96,43,7001,1950
1786271053.3037777,128,78,-,100,39,7001,1995
1786271054.310475,130,78,-,100,37,7001,1995
1786271055.3111455,130,78,-,100,43,7001,2002
1786271056.3182676,134,79,-,100,39,7001,1987
1786271057.3318715,131,80,-,100,43,7001,1972
1786271058.3386471,128,79,-,100,38,7001,1987
1786271059.3422227,135,80,-,100,43,7001,1972
1786271060.3457634,128,80,-,100,38,7001,1987
1786271061.356182,130,81,-,96,43,7001,1972
1786271062.3576508,126,81,-,100,37,7001,1987
1786271063.3719857,130,81,-,100,38,7001,2002
1786271064.3726377,128,81,-,100,43,7001,1980
1786271065.3785672,132,82,-,100,38,7001,1995
1786271066.3879244,130,82,-,100,43,7001,1942
1786271067.396484,133,82,-,100,38,7001,1987
1786271068.4023879,131,82,-,98,43,7001,1942
1786271069.409913,131,82,-,100,37,7001,1972
1786271070.410235,108,83,-,93,40,7001,1957
1786271071.415631,130,83,-,100,40,7001,1980
1786271072.4195328,127,83,-,100,38,7001,1965
1786271073.4242458,133,83,-,100,46,7001,1965
1786271074.4355178,131,83,-,100,37,7001,1972
1786271075.4426484,134,84,-,100,43,7001,1950
1786271076.4527721,129,84,-,100,38,7001,1972
1786271077.46284,130,84,-,96,43,7001,1950
1786271078.4668276,130,84,-,100,38,7001,1972
1786271079.4782171,131,84,-,100,39,7001,1995
1786271080.4869432,124,84,-,100,42,7001,1972
1786271081.4977264,132,84,-,100,37,7001,1972
1786271082.5125527,128,84,-,100,43,7001,1935
1786271083.5190623,132,84,-,100,38,7001,1980
1786271084.5213475,133,85,-,100,43,7001,1935
1786271085.5309486,130,85,-,100,37,7001,1972
1786271086.5393636,127,85,-,95,42,7001,1942
1786271087.5413914,129,85,-,100,40,7001,1972
1786271088.5462399,129,85,-,100,38,7001,1972
1786271089.5558114,123,85,-,100,44,7001,1972
1786271090.568559,130,85,-,100,37,7001,1972
1786271091.5761478,131,85,-,100,43,7001,1950
1786271092.5868492,129,85,-,100,37,7001,1965
1786271093.598167,134,85,-,95,43,7001,1935
1786271094.607403,131,85,-,100,38,7001,1965
1786271095.6204336,135,85,-,100,37,7001,1987
1786271096.6363606,128,85,-,100,43,7001,1980
1786271097.6467612,130,86,-,100,38,7001,1980
1786271098.6509354,133,86,-,100,43,7001,1950
1786271099.6639454,132,86,-,100,39,7001,1980
1786271100.673236,132,86,-,97,43,7001,1972
1786271101.6855195,133,86,-,100,38,7001,1972
1786271102.692185,131,86,-,96,42,7001,1972
1786271103.698871,131,86,-,100,40,7001,1942
1786271104.7090523,131,86,-,100,37,7001,1972
1786271105.711037,130,86,-,100,43,7001,1942
1786271106.7186599,129,86,-,100,37,7001,1987
1786271107.7229028,133,86,-,100,43,7001,1980
1786271108.7310908,132,86,-,100,38,7001,1965
1786271109.7324376,131,86,-,96,44,7001,1965
1786271110.7398753,131,87,-,100,39,7001,1927
1786271111.7538524,131,87,-,100,37,7001,1972
1786271112.7624044,128,87,-,100,43,7001,1927
1786271113.7643592,127,86,-,100,38,7001,1965
1786271114.765589,132,87,-,100,42,7001,1950
1786271115.7656686,131,86,-,100,37,7001,1965
1786271116.7726645,132,87,-,96,44,7001,1972
1786271117.7771766,132,87,-,100,38,7001,1927
1786271118.7799368,50,77,-,100,37,7001,2010
1786271119.7812357,42,75,-,0,0,7001,2017
1786271120.7896924,28,72,-,0,0,6001,367
