t,pwr,gtemp,mtemp,sm,mem,mclk,pclk
1786271137.664431,12,60,-,1,1,405,210
1786271138.6842077,12,59,-,2,1,405,210
1786271139.696535,12,59,-,2,1,405,210
1786271140.7085223,25,60,-,2,1,7001,1605
1786271141.7225454,29,60,-,0,0,7001,1605
1786271142.7302725,25,60,-,0,0,7001,1605
1786271143.7315226,25,60,-,0,0,7001,1605
1786271144.7329326,25,60,-,0,0,7001,1605
1786271145.7455177,25,60,-,0,0,7001,1605
1786271146.7546375,24,59,-,0,0,405,337
1786271147.760987,16,59,-,1,1,405,225
1786271148.7753067,12,58,-,2,1,405,210
1786271149.7855365,12,58,-,4,1,405,210
1786271150.7879915,12,58,-,4,1,405,210
1786271151.7903233,12,58,-,4,1,405,210
1786271152.802944,12,58,-,4,1,405,210
1786271153.8155122,12,58,-,4,1,405,210
1786271154.8244033,12,58,-,2,1,405,210
1786271155.8370206,12,57,-,2,1,405,210
1786271156.8393538,12,57,-,2,1,405,210
1786271157.839461,12,57,-,2,1,405,210
1786271158.8549433,12,57,-,2,1,405,210
1786271159.8593066,12,57,-,1,0,405,210
1786271160.8721223,12,57,-,1,0,405,210
1786271161.8740788,12,57,-,1,0,405,210
1786271162.8795118,12,57,-,2,1,405,210
1786271163.8859408,12,57,-,2,1,405,210
1786271164.8974855,12,57,-,2,1,405,210
1786271165.904297,12,57,-,2,1,405,210
1786271166.9176304,12,56,-,1,1,405,210
1786271167.9214847,11,57,-,2,1,405,210
1786271168.9340224,12,57,-,1,0,405,210
1786271169.9471908,12,57,-,1,0,405,210
1786271170.9559758,12,56,-,2,1,405,210
1786271171.9606266,12,56,-,2,1,405,210
1786271172.9756026,12,56,-,2,1,405,210
1786271173.9784594,12,56,-,2,1,405,210
1786271174.9928021,12,56,-,2,1,405,210
1786271176.0050623,11,56,-,1,0,405,210
1786271177.0079978,12,56,-,1,0,405,210
1786271178.0198562,12,56,-,2,1,405,210
1786271179.0304472,12,56,-,2,1,405,210
1786271180.0372126,12,56,-,4,1,405,210
1786271181.0389397,12,56,-,5,2,405,210
1786271182.0508604,12,56,-,4,1,405,210
1786271183.0543208,12,56,-,1,0,405,210
1786271184.054715,12,56,-,4,1,405,210
1786271185.0574713,11,56,-,0,0,405,210
1786271186.072525,12,56,-,2,1,405,210
1786271187.0807793,12,56,-,2,1,405,210
1786271188.0904186,12,56,-,2,1,405,210
1786271189.1046734,12,56,-,2,1,405,210
1786271190.1189852,12,56,-,2,1,405,210
1786271191.121919,11,56,-,1,1,405,210
1786271192.1226747,12,56,-,1,0,405,210
1786271193.1353056,12,56,-,1,0,405,210
1786271194.141519,38,61,-,65,50,7001,2040
1786271195.148542,121,67,-,0,0,7001,1987
1786271196.1491551,123,69,-,100,37,7001,1942
1786271197.1618068,115,70,-,100,37,7001,1950
1786271198.175754,120,71,-,100,42,7001,2010
1786271199.1814144,114,71,-,100,37,7001,1942
1786271200.1907165,121,73,-,86,41,7001,1980
1786271201.1986945,129,75,-,100,38,7001,1995
1786271202.2052279,132,76,-,100,43,7001,2002
1786271203.2164896,133,77,-,100,38,7001,2010
1786271204.2287452,131,77,-,100,43,7001,1980
1786271205.2311368,130,77,-,100,39,7001,2002
1786271206.2427683,130,77,-,88,42,7001,1972
1786271207.2435331,133,79,-,100,39,7001,1995
1786271208.2501264,133,79,-,100,38,7001,2002
1786271209.2604995,130,80,-,100,42,7001,1995
1786271210.268051,134,80,-,100,38,7001,2002
1786271211.2726128,130,80,-,100,43,7001,1972
1786271212.283316,136,81,-,100,39,7001,2002
1786271213.284147,135,81,-,85,41,7001,1972
1786271214.285123,131,81,-,100,38,7001,2002
1786271215.2937212,133,80,-,99,40,7001,2002
1786271216.305241,131,82,-,100,43,7001,1995
1786271217.318896,135,82,-,100,38,7001,1995
1786271218.3292577,132,83,-,100,43,7001,1972
1786271219.341553,134,83,-,100,37,7001,1995
1786271220.3563166,133,83,-,91,42,7001,1972
1786271221.358582,134,83,-,100,37,7001,1987
1786271222.3670807,134,82,-,100,38,7001,1987
1786271223.3777304,131,83,-,100,43,7001,1972
1786271224.3792279,131,84,-,100,38,7001,1987
1786271225.3938289,135,84,-,100,44,7001,1957
1786271226.4086564,132,84,-,100,38,7001,1980
1786271227.4205506,128,84,-,84,39,7001,1965
1786271228.4320278,135,85,-,100,38,7001,1980
1786271229.433252,133,85,-,100,39,7001,1972
1786271230.447775,130,85,-,100,44,7001,1972
1786271231.448797,134,85,-,100,38,7001,1980
1786271232.4570193,133,85,-,100,43,7001,1935
1786271233.4608517,123,85,-,100,38,7001,1957
1786271234.4665952,116,84,-,88,38,7001,1920
1786271235.4791744,115,84,-,100,41,7001,1920
1786271236.489441,126,85,-,100,37,7001,1935
1786271237.4953732,124,84,-,100,43,7001,1897
