t,pwr,gtemp,mtemp,sm,mem,mclk,pclk
1786271292.0623274,13,64,-,4,1,405,210
1786271293.080543,13,64,-,4,1,405,210
1786271294.0855088,16,64,-,4,1,405,210
1786271295.092499,26,64,-,4,1,7001,1605
1786271296.0992985,26,64,-,0,0,7001,1605
1786271297.103139,26,64,-,0,0,7001,1605
1786271298.1091459,26,64,-,0,0,7001,1605
1786271299.1169841,26,64,-,0,0,7001,1605
1786271300.127201,29,64,-,0,0,7001,1605
1786271301.1429017,19,63,-,0,0,405,330
1786271302.15101,12,62,-,1,1,405,210
1786271303.1576762,12,61,-,2,1,405,210
1786271304.162746,12,61,-,2,1,405,210
1786271305.175857,12,61,-,2,1,405,210
1786271306.1899316,12,60,-,1,0,405,210
1786271307.1947296,12,60,-,1,1,405,210
1786271308.195575,12,60,-,2,1,405,210
1786271309.2106626,12,60,-,2,1,405,210
1786271310.216345,12,59,-,2,1,405,210
1786271311.2242913,12,59,-,1,0,405,210
1786271312.22554,12,59,-,1,0,405,210
1786271313.22932,12,59,-,1,0,405,210
1786271314.2315829,16,59,-,2,1,405,210
1786271315.2454085,12,59,-,2,1,405,210
1786271316.2505386,12,58,-,2,1,405,210
1786271317.263361,12,58,-,2,1,405,210
1786271318.2758067,12,58,-,1,0,405,210
1786271319.2906458,16,58,-,1,0,405,210
1786271320.294108,12,58,-,2,1,405,210
1786271321.3079708,12,57,-,2,1,405,210
1786271322.308748,12,57,-,2,1,405,210
1786271323.3233263,12,57,-,2,1,405,210
1786271324.3367922,12,57,-,2,1,405,210
1786271325.3381898,13,57,-,1,0,405,210
1786271326.3435903,12,57,-,4,1,405,210
1786271327.3620353,12,57,-,4,1,405,210
1786271328.3741248,15,57,-,4,1,405,210
1786271329.3860471,12,57,-,4,1,405,210
1786271330.397619,12,57,-,4,1,405,210
1786271331.4033198,12,57,-,3,1,405,210
1786271332.4159565,16,57,-,2,1,405,210
1786271333.423999,12,57,-,2,1,405,210
1786271334.4384909,12,57,-,2,1,405,210
1786271335.448474,12,57,-,2,1,405,210
1786271336.4617357,12,57,-,2,1,405,210
1786271337.4694808,12,57,-,2,1,405,210
1786271338.4842043,12,57,-,2,1,405,210
1786271339.4960995,12,57,-,2,1,405,210
1786271340.5058482,12,57,-,2,1,405,210
1786271341.5093033,12,57,-,2,1,405,210
1786271342.514841,12,57,-,1,0,405,210
1786271343.5268166,12,57,-,1,0,405,210
1786271344.5336192,12,57,-,1,0,405,210
1786271345.5409899,12,57,-,1,0,405,210
1786271346.5519707,12,57,-,1,0,405,210
1786271347.5637693,14,57,-,38,24,405,210
1786271348.564798,38,60,-,0,0,7001,2047
1786271349.5759516,128,66,-,100,43,7001,2002
1786271350.5907214,124,71,-,100,43,7001,1987
1786271351.5919812,123,72,-,99,42,7001,1987
1786271352.5928736,125,73,-,100,40,7001,2002
1786271353.5996442,124,74,-,100,38,7001,1980
1786271354.6007555,125,75,-,100,40,7001,1987
1786271355.604764,115,75,-,95,43,7001,1950
1786271356.6115427,123,75,-,100,43,7001,1950
1786271357.6243405,119,76,-,100,43,7001,1957
1786271358.634652,120,77,-,100,38,7001,1957
1786271359.6403875,118,77,-,100,37,7001,1957
1786271360.6424532,120,78,-,100,39,7001,1965
1786271361.6542015,117,78,-,100,38,7001,1957
1786271362.6626933,118,78,-,96,45,7001,1942
1786271363.677591,114,79,-,100,41,7001,1912
1786271364.6912177,115,79,-,100,41,7001,1935
1786271365.7004237,116,79,-,100,38,7001,1927
1786271366.7036352,120,80,-,100,38,7001,1950
1786271367.7167192,119,81,-,100,38,7001,1942
1786271368.723104,122,82,-,100,39,7001,1965
1786271369.7290514,122,82,-,96,45,7001,1942
1786271370.7310703,127,82,-,100,44,7001,1950
1786271371.7392724,123,83,-,99,42,7001,1980
1786271372.7537775,126,83,-,99,37,7001,1972
1786271373.7678573,124,83,-,100,38,7001,1950
1786271374.7822182,130,84,-,100,38,7001,1965
1786271375.7935524,126,84,-,92,39,7001,1957
1786271376.8038905,127,85,-,100,43,7001,1957
1786271377.8113017,127,85,-,100,42,7001,1965
1786271378.8256426,132,85,-,100,38,7001,1972
1786271379.8382132,130,85,-,100,38,7001,1957
1786271380.8491752,130,85,-,99,38,7001,1957
1786271381.8522038,128,85,-,100,38,7001,1965
1786271382.8591561,128,86,-,95,43,7001,1950
1786271383.8639987,128,86,-,100,42,7001,1965
1786271384.865707,126,86,-,100,45,7001,1957
1786271385.880633,126,86,-,100,38,7001,1950
1786271386.8948848,126,86,-,100,38,7001,1950
1786271387.8982313,126,86,-,100,38,7001,1942
1786271388.9100704,126,86,-,100,38,7001,1950
1786271389.9127653,130,87,-,96,44,7001,1957
1786271390.9248374,128,87,-,100,42,7001,1957
1786271391.939292,127,87,-,100,42,7001,1965
1786271392.9479492,124,87,-,100,38,7001,1935
1786271393.9549983,126,87,-,100,38,7001,1927
1786271394.9580312,125,87,-,100,38,7001,1942
1786271395.9610178,122,87,-,100,38,7001,1950
1786271396.9705598,122,87,-,95,44,7001,1935
1786271397.9829915,123,87,-,100,43,7001,1935
1786271398.9856594,120,87,-,100,43,7001,1942
1786271399.993322,121,87,-,100,38,7001,1927
1786271400.9988828,124,87,-,100,38,7001,1920
1786271402.0007443,121,87,-,100,37,7001,1935
1786271403.005234,123,87,-,100,38,7001,1942
1786271404.0143175,123,87,-,95,44,7001,1950
1786271405.0286639,117,86,-,100,42,7001,1912
1786271406.0433996,119,87,-,100,43,7001,1912
1786271407.047342,116,87,-,100,37,7001,1912
1786271408.061528,118,86,-,100,38,7001,1905
1786271409.075907,118,86,-,100,38,7001,1897
1786271410.0771523,121,86,-,100,38,7001,1920
1786271411.0823317,118,87,-,100,38,7001,1912
1786271412.0942626,117,87,-,100,42,7001,1912
1786271413.1077971,117,87,-,100,42,7001,1912
1786271414.11441,114,87,-,100,43,7001,1912
1786271415.1282735,120,87,-,100,38,7001,1897
1786271416.1399434,117,87,-,100,38,7001,1897
1786271417.1537018,117,87,-,100,37,7001,1912
1786271418.1670053,117,87,-,100,38,7001,1920
1786271419.1678329,118,87,-,96,43,7001,1920
1786271420.1786902,116,87,-,100,42,7001,1912
1786271421.1802166,118,87,-,100,42,7001,1920
1786271422.1910648,117,87,-,100,39,7001,1920
1786271423.2024586,112,87,-,100,38,7001,1867
1786271424.2033472,113,86,-,100,38,7001,1867
1786271425.2132602,113,86,-,100,37,7001,1882
1786271426.2273993,111,86,-,100,37,7001,1897
1786271427.2327864,112,86,-,96,42,7001,1897
1786271428.2457225,112,86,-,100,42,7001,1875
1786271429.2468054,111,86,-,100,42,7001,1882
1786271430.252511,113,86,-,100,38,7001,1897
1786271431.264307,112,86,-,100,38,7001,1897
1786271432.2786005,111,86,-,100,36,7001,1875
1786271433.292299,115,87,-,100,37,7001,1920
1786271434.301978,112,87,-,98,42,7001,1890
1786271435.308853,112,86,-,100,42,7001,1875
1786271436.3113313,112,86,-,100,41,7001,1875
1786271437.3229375,113,86,-,100,42,7001,1897
1786271438.3342173,112,87,-,100,36,7001,1890
1786271439.3474562,112,87,-,100,38,7001,1890
1786271440.3591223,113,87,-,100,37,7001,1882
1786271441.366335,113,87,-,100,37,7001,1890
1786271442.375937,112,87,-,100,38,7001,1942
1786271443.3803327,112,87,-,95,44,7001,1882
1786271444.391653,112,87,-,100,41,7001,1882
1786271445.396789,113,87,-,100,41,7001,1882
1786271446.3981497,110,87,-,100,40,7001,1897
1786271447.4076452,111,87,-,100,38,7001,1890
1786271448.4186118,112,87,-,100,37,7001,1890
1786271449.4252388,113,87,-,100,37,7001,1897
1786271450.4383895,112,87,-,100,37,7001,1897
1786271451.443545,116,87,-,96,43,7001,1875
1786271452.4541497,113,87,-,100,42,7001,1867
1786271453.4595723,112,87,-,100,41,7001,1882
1786271454.4611564,45,80,-,0,0,7001,2002
1786271455.475169,43,78,-,0,0,7001,2010
1786271456.4830923,22,74,-,0,0,6001,405
