t,pwr,gtemp,mtemp,sm,mem,mclk,pclk
1786271469.4747453,12,64,-,2,1,405,210
1786271470.4892404,12,64,-,2,1,405,210
1786271471.5036077,12,63,-,2,1,405,210
1786271472.5067074,12,63,-,1,0,405,210
1786271473.5172427,26,64,-,0,0,7001,1605
1786271474.5261793,26,64,-,0,0,7001,1605
1786271475.53028,26,64,-,0,0,7001,1605
1786271476.5438793,26,64,-,0,0,7001,1605
1786271477.5439923,26,63,-,0,0,7001,1605
1786271478.546019,26,63,-,1,0,7001,1605
1786271479.5578928,17,62,-,1,1,405,255
1786271480.5732088,16,61,-,4,1,405,210
1786271481.585938,12,61,-,4,1,405,210
1786271482.592265,12,61,-,1,0,405,210
1786271483.6040554,13,60,-,4,1,405,210
1786271484.6158104,12,60,-,1,0,405,210
1786271485.6244476,12,60,-,1,0,405,210
1786271486.6431246,13,60,-,1,0,405,210
1786271487.6578467,12,59,-,0,0,405,210
1786271488.6590192,12,59,-,1,0,405,210
1786271489.6644087,12,59,-,1,0,405,210
1786271490.67465,12,59,-,1,0,405,210
1786271491.679092,12,59,-,2,1,405,210
1786271492.6832821,12,59,-,1,0,405,210
1786271493.6989105,12,58,-,1,0,405,210
1786271494.7021136,12,58,-,1,0,405,210
1786271495.705335,12,58,-,1,0,405,210
1786271496.7099082,12,58,-,1,1,405,210
1786271497.7181244,12,58,-,0,0,405,210
1786271498.7235172,12,58,-,2,1,405,210
1786271499.7270832,13,58,-,1,0,405,210
1786271500.728353,12,58,-,0,0,405,210
1786271501.7400813,12,58,-,0,0,405,210
1786271502.7566817,12,58,-,1,0,405,210
1786271503.7636602,16,57,-,1,0,405,210
1786271504.780517,12,57,-,1,0,405,210
1786271505.7887259,12,57,-,1,0,405,210
1786271506.7953205,12,57,-,1,0,405,210
1786271507.7984662,12,57,-,1,0,405,210
1786271508.8081036,12,57,-,4,1,405,210
1786271509.8183978,12,57,-,4,1,405,210
1786271510.82923,12,57,-,4,1,405,210
1786271511.833727,12,57,-,4,1,405,210
1786271512.8444421,12,57,-,4,1,405,210
1786271513.856459,12,57,-,1,0,405,210
1786271514.8598435,12,57,-,2,1,405,210
1786271515.8623407,12,57,-,2,1,405,210
